Version,OCP Version,Cluster,Duration,Iteration,Scenario,Type,CPU,Max CPU,Kernel,Sideloaded
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,2,steadyworkload,os daemon,0.4151673,1.6046635,,No
4.12,4.12.0-0.nightly-2022-10-24-103753,worker-1,8h,2,steadyworkload,infra pods,1.2758623,,,No
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,1,idle,os daemon,0.206,1.3951932,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,1,idle,infra pods,1.2089894,,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,1,workloadlaunch,os daemon,1.4147028,1.9279764,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,1,workloadlaunch,infra pods,1.377007,,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,1,mustgather,os daemon,0.8335,2.9292076,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,1,mustgather,infra pods,2.2058902,,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,1,promquery,os daemon,0.4366667,2.4796505,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,1,promquery,infra pods,2.2319247,,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,1,steadyworkload,os daemon,0.458,1.6755704,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,1,steadyworkload,infra pods,1.4147028,,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,2,idle,os daemon,0.28,1.5295638,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,2,idle,infra pods,1.2835638,,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,2,workloadlaunch,os daemon,1.4262973,2.1954685,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,2,workloadlaunch,infra pods,1.3275436,,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,2,mustgather,os daemon,1.46,3.6691909,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,2,mustgather,infra pods,2.2643354,,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,2,promquery,os daemon,0.456,2.6032696,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,2,promquery,infra pods,2.2972696,,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,2,steadyworkload,os daemon,0.4413333,1.7693698,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,2,steadyworkload,infra pods,1.4262973,,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,3,idle,os daemon,0.2166667,1.4253332,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,3,idle,infra pods,1.2369498,,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,3,workloadlaunch,os daemon,1.3761916,2.1136692,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,3,workloadlaunch,infra pods,1.3845034,,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,3,mustgather,os daemon,0.9066667,3.0911371,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,3,mustgather,infra pods,2.306565,,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,3,promquery,os daemon,0.3313333,2.6163943,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,3,promquery,infra pods,2.357061,,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,3,steadyworkload,os daemon,0.358,1.6451917,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,worker-0,8h,3,steadyworkload,infra pods,1.3761916,,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-rc.2,worker-0,8h,1,idle,os daemon,0.1733333,1.2786259,4.18.0-372.32.1.rt7.189.el8_6.x86_64,No
4.12,4.12.0-rc.2,worker-0,8h,1,idle,infra pods,1.1286259,,4.18.0-372.32.1.rt7.189.el8_6.x86_64,No
4.12,4.12.0-rc.2,worker-0,8h,1,workloadlaunch,os daemon,1.3134834,3.4610402,4.18.0-372.32.1.rt7.189.el8_6.x86_64,No
4.12,4.12.0-rc.2,worker-0,8h,1,workloadlaunch,infra pods,1.3056785,,4.18.0-372.32.1.rt7.189.el8_6.x86_64,No
4.12,4.12.0-rc.2,worker-0,8h,1,mustgather,os daemon,0.478,2.1297846,4.18.0-372.32.1.rt7.189.el8_6.x86_64,No
4.12,4.12.0-rc.2,worker-0,8h,1,mustgather,infra pods,1.8817846,,4.18.0-372.32.1.rt7.189.el8_6.x86_64,No
4.12,4.12.0-rc.2,worker-0,8h,1,promquery,os daemon,0.2873333,1.9838363,4.18.0-372.32.1.rt7.189.el8_6.x86_64,No
4.12,4.12.0-rc.2,worker-0,8h,1,promquery,infra pods,1.7631697,,4.18.0-372.32.1.rt7.189.el8_6.x86_64,No
4.12,4.12.0-rc.2,worker-0,8h,1,steadyworkload,os daemon,0.4474527,1.5667989,4.18.0-372.32.1.rt7.189.el8_6.x86_64,No
4.12,4.12.0-rc.2,worker-0,8h,1,steadyworkload,infra pods,1.3134834,,4.18.0-372.32.1.rt7.189.el8_6.x86_64,No
