Version,OCP Version,Operator Version,Reboot Type,Stage,Iteration,Seconds,Total Minutes,Cluster,Kernel,Sideloaded
4.11,4.11.6,4.11,Soft reboot,Workload Recovery,2,115,,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,Cluster Recovery,2,84,,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,Node Pingable,3,311,12.45,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,OC Reachable,3,87,,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,Workload Recovery,3,265,,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,Cluster Recovery,3,84,,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,Node Pingable,4,214,9.10,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,OC Reachable,4,99,,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,Workload Recovery,4,115,,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,Cluster Recovery,4,118,,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,Node Pingable,5,216,9.70,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,OC Reachable,5,102,,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,Workload Recovery,5,130,,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,Cluster Recovery,5,134,,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,Node Pingable,6,215,9.43,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,OC Reachable,6,102,,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,Workload Recovery,6,115,,worker-1,,No
4.11,4.11.6,4.11,Soft reboot,Cluster Recovery,6,134,,worker-1,,No
4.11,4.11.6,4.11,Power off/on,Node Pingable,1,177,12.20,worker-1,,No
4.11,4.11.6,4.11,Power off/on,OC Reachable,1,102,,worker-1,,No
4.11,4.11.6,4.11,Power off/on,Workload Recovery,1,385,,worker-1,,No
4.11,4.11.6,4.11,Power off/on,Cluster Recovery,1,68,,worker-1,,No
4.11,4.11.6,4.11,Power off/on,Node Pingable,2,179,11.42,worker-1,,No
4.11,4.11.6,4.11,Power off/on,OC Reachable,2,143,,worker-1,,No
4.11,4.11.6,4.11,Power off/on,Workload Recovery,2,210,,worker-1,,No
4.11,4.11.6,4.11,Power off/on,Cluster Recovery,2,153,,worker-1,,No
4.11,4.11.6,4.11,Power off/on,Node Pingable,3,174,11.42,worker-1,,No
4.11,4.11.6,4.11,Power off/on,OC Reachable,3,198,,worker-1,,No
4.11,4.11.6,4.11,Power off/on,Workload Recovery,3,195,,worker-1,,No
4.11,4.11.6,4.11,Power off/on,Cluster Recovery,3,118,,worker-1,,No
4.11,4.11.6,4.11,Power off/on,Node Pingable,4,176,12.80,worker-1,,No
4.11,4.11.6,4.11,Power off/on,OC Reachable,4,168,,worker-1,,No
4.11,4.11.6,4.11,Power off/on,Workload Recovery,4,290,,worker-1,,No
4.11,4.11.6,4.11,Power off/on,Cluster Recovery,4,134,,worker-1,,No
4.11,4.11.6,4.11,Power off/on,Node Pingable,5,179,11.87,worker-1,,No
4.11,4.11.6,4.11,Power off/on,OC Reachable,5,135,,worker-1,,No
4.11,4.11.6,4.11,Power off/on,Workload Recovery,5,230,,worker-1,,No
4.11,4.11.6,4.11,Power off/on,Cluster Recovery,5,168,,worker-1,,No
4.11,4.11.6,4.11,Power off/on,Node Pingable,6,179,11.97,worker-1,,No
4.11,4.11.6,4.11,Power off/on,OC Reachable,6,132,,worker-1,,No
4.11,4.11.6,4.11,Power off/on,Workload Recovery,6,5,,worker-1,,No
4.11,4.11.6,4.11,Power off/on,Cluster Recovery,6,402,,worker-1,,No
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,Soft reboot,Node Pingable,1,203,7.40,worker-0,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,Soft reboot,OC Reachable,1,102,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,Soft reboot,Workload Recovery,1,85,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,Soft reboot,Cluster Recovery,1,54,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,Soft reboot,Node Pingable,2,290,8.88,worker-0,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,Soft reboot,OC Reachable,2,99,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,Soft reboot,Workload Recovery,2,70,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,Soft reboot,Cluster Recovery,2,74,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,Power off/on,Node Pingable,1,165,8.73,worker-0,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,Power off/on,OC Reachable,1,136,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,Power off/on,Workload Recovery,1,185,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,Power off/on,Cluster Recovery,1,38,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,Power off/on,Node Pingable,2,165,8.12,worker-0,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,Power off/on,OC Reachable,2,99,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,Power off/on,Workload Recovery,2,185,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,Power off/on,Cluster Recovery,2,38,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,Soft reboot,Node Pingable,1,205,8.17,worker-0,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,Soft reboot,OC Reachable,1,102,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
