Version,OCP Version,Cluster,Duration,Iteration,Component,CPU,Steady Workloads - Avg
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-must-gather-5t2lg"", pod=""must-gather-""}",0,
4.9,4.9.6,worker-2,8h,2,"{groupname=""sshd""}",0,2.6027162
4.9,4.9.6,worker-2,8h,2,"{groupname=""auditd""}",0.0000035,
4.9,4.9.6,worker-2,8h,2,"{groupname=""irqbalance""}",0.0009634,
4.9,4.9.6,worker-2,8h,2,"{groupname=""ovsdb-server""}",0.0014829,
4.9,4.9.6,worker-2,8h,2,"{groupname=""polkitd""}",0.0000208,
4.9,4.9.6,worker-2,8h,2,"{groupname=""rdma-ndd""}",0,
4.9,4.9.6,worker-2,8h,2,"{groupname=""rpcbind""}",0.0000007,
4.9,4.9.6,worker-2,8h,2,"{groupname=""sssd""}",0.0000438,
4.9,4.9.6,worker-2,8h,2,"{groupname=""NetworkManager""}",0.0012496,
4.9,4.9.6,worker-2,8h,2,"{groupname=""crio""}",0.0175581,
4.9,4.9.6,worker-2,8h,2,"{groupname=""dnsmasq""}",0.0000611,
4.9,4.9.6,worker-2,8h,2,"{groupname=""systemd-journald""}",0.0002042,
4.9,4.9.6,worker-2,8h,2,"{groupname=""systemd-logind""}",0.0000139,
4.9,4.9.6,worker-2,8h,2,"{groupname=""dbus-daemon""}",0.0002883,
4.9,4.9.6,worker-2,8h,2,"{groupname=""nm-dispatcher""}",0.0000424,
4.9,4.9.6,worker-2,8h,2,"{groupname=""rpc.statd""}",0,
4.9,4.9.6,worker-2,8h,2,"{groupname=""stalld""}",0.0120009,
4.9,4.9.6,worker-2,8h,2,"{groupname=""systemd""}",0.0005182,
4.9,4.9.6,worker-2,8h,2,"{groupname=""systemd-udevd""}",0.0000083,
4.9,4.9.6,worker-2,8h,2,"{groupname=""agetty""}",0.0008933,
4.9,4.9.6,worker-2,8h,2,"{groupname=""kubelet""}",0.1880758,
4.9,4.9.6,worker-2,8h,2,"{groupname=""ovs-vswitchd""}",0.0524231,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-kube-controller-manager"", pod=""kube-controller-manager-worker-2.cluster1.savanna.lab.eng.rdu2.redhat.com""}",0.1824044,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-logging"", pod=""cluster-logging-operator-""}",0.0043496,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-multus"", pod=""network-metrics-daemon-""}",0.0007966,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-operator-lifecycle-manager"", pod=""package-server-manager-""}",0.000449,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-sriov-network-operator"", pod=""sriov-device-plugin-""}",0.0000386,
4.9,4.9.6,worker-2,8h,2,"{namespace=""open-cluster-management-agent"", pod=""klusterlet-registration-agent-""}",0.0084767,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-cluster-storage-operator"", pod=""cluster-storage-operator-""}",0.012401,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-cluster-node-tuning-operator"", pod=""cluster-node-tuning-operator-""}",0.0002542,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-operator-lifecycle-manager"", pod=""olm-operator-""}",0.0491471,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-service-ca"", pod=""service-ca-""}",0.0087644,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-service-ca-operator"", pod=""service-ca-operator-""}",0.0080006,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-sriov-network-operator"", pod=""sriov-network-operator-""}",0.0031459,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-cluster-machine-approver"", pod=""machine-approver-""}",0.0017001,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-kube-storage-version-migrator-operator"", pod=""kube-storage-version-migrator-operator-""}",0.0161587,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-marketplace"", pod=""sriov-network-operator-""}",0.0036843,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-monitoring"", pod=""kube-state-metrics-""}",0.0026375,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-ovn-kubernetes"", pod=""ovnkube-node-""}",0.0084184,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-ptp"", pod=""ptp-operator-""}",0.0027102,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-apiserver-operator"", pod=""openshift-apiserver-operator-""}",0.0169914,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-cloud-controller-manager-operator"", pod=""cluster-cloud-controller-manager-operator-""}",0.0008942,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-controller-manager-operator"", pod=""openshift-controller-manager-operator-""}",0.0160192,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-marketplace"", pod=""local-storage-operator-""}",0.0034779,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-monitoring"", pod=""prometheus-operator-""}",0.0028189,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-cloud-credential-operator"", pod=""cloud-credential-operator-""}",0.0034696,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-cluster-storage-operator"", pod=""csi-snapshot-controller-""}",0.0001461,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-authentication-operator"", pod=""authentication-operator-""}",0.111449,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-marketplace"", pod=""ptp-operator-""}",0.0035257,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-network-operator"", pod=""network-operator-""}",0.0321156,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-operator-lifecycle-manager"", pod=""catalog-operator-""}",0.0100018,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-ovn-kubernetes"", pod=""ovnkube-master-""}",0.0147324,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-sriov-network-operator"", pod=""network-resources-injector-""}",0.0002445,
