Version,OCP Version,Operator Version,Index,Max,Min,Avg,Availability,Number of Nines,Cluster,Duration,Kernel,Sideloaded
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,2,75,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,3,7,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,4,7,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,5,7,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,6,7,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,7,616,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,8,502,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,9,7,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-rc.1,4.12,0,8,3,3,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,1,9,3,3,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,10,8,3,3,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,11,8,3,3,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,12,9,3,3,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,13,8,3,3,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,2,8,3,3,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,3,9,3,3,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,4,9,3,3,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,5,8,3,3,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,6,8,3,3,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,7,8,3,3,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,8,19,3,3,99.99997917,6,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,9,8,3,3,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,0,7,3,3,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,1,7,2,3,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,10,10,3,3,99.99999653,7,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,11,7,3,3,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,12,7,2,3,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,13,7,3,3,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,2,8,2,2,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,3,7,2,2,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,4,7,2,2,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,5,7,2,3,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,6,7,3,3,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,7,7,3,3,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,8,7,3,3,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,9,7,3,3,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,0,93,2,3,98.45505512,1,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,1,115,2,3,98.52720531,1,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,10,99,2,3,98.52805393,1,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,11,107,2,3,98.48930272,1,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,12,105,2,3,98.4437891,1,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,13,106,2,3,98.58472708,1,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,2,99,2,5,85.59044901,1,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,3,122,2,3,98.56682544,1,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,4,123,2,3,98.54955642,1,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,5,104,2,3,98.47620224,1,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,6,100,2,3,98.50649494,1,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,7,93,2,3,98.58563387,1,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,8,113,2,3,98.62648489,1,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,9,103,2,3,98.20049987,1,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
